repo_full_name,html_url,description,homepage,topics,archived,disabled,is_fork,license_spdx,language,stars,forks,watchers,open_issues,size_kb,created_at,updated_at,pushed_at,days_since_last_commit,days_since_last_update,risk_score,action,risk_flags,why,updated_at_run
meilisearch/meilisearch,https://github.com/meilisearch/meilisearch,A lightning-fast search engine API bringing AI-powered hybrid search to your sites and applications.,https://www.meilisearch.com,"ai,api,app-search,database,enterprise-search,faceting,full-text-search,fuzzy-search,geosearch,hybrid-search,instantsearch,search,search-as-you-type,search-engine,semantic-search,site-search,typo-tolerance,vector-database,vector-search,vectors",0,0,0,NOASSERTION,Rust,56138,2396,56138,305,87497,2018-04-23T11:45:28Z,2026-03-02T03:14:36Z,2026-02-27T05:04:58Z,2,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 2d ago); 305 open issues, 56138★",2026-03-02T04:49:18.390789+00:00
laurent22/joplin,https://github.com/laurent22/joplin,"Joplin - the privacy-focused note taking app with sync capabilities for Windows, macOS, Linux, Android and iOS.",https://joplinapp.org,"android,dropbox,electron,enex-files,evernote,javascript,joplin,nextcloud,nodejs,note-taking,onedrive,react-native,synchronisation,web-clipper,webdav",0,0,0,NOASSERTION,TypeScript,53692,5857,53692,602,618401,2017-01-16T21:49:41Z,2026-03-02T04:34:29Z,2026-03-01T22:29:56Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 602 open issues, 53692★",2026-03-02T04:49:17.529589+00:00
DefinitelyTyped/DefinitelyTyped,https://github.com/DefinitelyTyped/DefinitelyTyped,The repository for high quality TypeScript type definitions.,,"definition,dts,hacktoberfest,types,typescript,typescript-definitions,typings",0,0,0,NOASSERTION,TypeScript,50993,30559,50993,699,818094,2012-10-05T16:39:45Z,2026-03-02T04:22:59Z,2026-03-02T00:13:22Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 699 open issues, 50993★",2026-03-02T04:49:17.529771+00:00
FlowiseAI/Flowise,https://github.com/FlowiseAI/Flowise,"Build AI Agents, Visually",https://flowiseai.com,"agentic-ai,agentic-workflow,agents,artificial-intelligence,chatbot,chatgpt,javascript,langchain,large-language-models,low-code,multiagent-systems,no-code,openai,rag,react,typescript,workflow-automation",0,0,0,NOASSERTION,TypeScript,49454,23766,49454,780,74298,2023-03-31T12:23:09Z,2026-03-02T03:12:54Z,2026-02-28T01:04:09Z,2,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 2d ago); 780 open issues, 49454★",2026-03-02T04:49:17.529892+00:00
hashicorp/terraform,https://github.com/hashicorp/terraform,"Terraform enables you to safely and predictably create, change, and improve infrastructure. It is a source-available tool that codifies APIs into declarative configuration files that can be shared amongst team members, treated as code, edited, reviewed, and versioned.",http://developer.hashicorp.com/terraform,"cloud,cloud-management,graph,infrastructure-as-code,terraform",0,0,0,NOASSERTION,Go,47845,10229,47845,1909,352719,2014-03-13T22:25:48Z,2026-03-02T04:36:27Z,2026-03-01T08:15:06Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 1909 open issues, 47845★",2026-03-02T04:49:17.900063+00:00
bigskysoftware/htmx,https://github.com/bigskysoftware/htmx,</> htmx - high power tools for HTML,https://htmx.org,"hateoas,html,htmx,hyperscript,javascript,rest",0,0,0,NOASSERTION,JavaScript,47532,1568,47532,664,127780,2020-04-13T16:17:51Z,2026-03-02T04:43:38Z,2026-02-28T17:13:40Z,1,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 1d ago); 664 open issues, 47532★",2026-03-02T04:49:16.917701+00:00
serverless/serverless,https://github.com/serverless/serverless,"⚡ Serverless Framework – Effortlessly build apps that auto-scale, incur zero costs when idle, and require minimal maintenance using AWS Lambda and other managed cloud services.",https://serverless.com,"aws,aws-dynamodb,aws-lambda,azure-functions,google-cloud-functions,microservice,serverless,serverless-architectures,serverless-framework",0,0,0,NOASSERTION,JavaScript,46949,5735,46949,1221,103128,2015-04-21T03:48:40Z,2026-02-28T16:27:15Z,2026-03-01T17:38:05Z,0,1,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 1221 open issues, 46949★",2026-03-02T04:49:17.037962+00:00
Asabeneh/30-Days-Of-JavaScript,https://github.com/Asabeneh/30-Days-Of-JavaScript,"30 days of JavaScript programming challenge is a step-by-step guide to learn JavaScript programming language in 30 days. This challenge may take more than 100 days,  please just follow your own pace. These videos may help too: https://www.youtube.com/channel/UC7PNRuno1rzYPb1xLa4yktw",,"30daysofjavascript,angular,challenge,css,d3,d3js,html,javascript,javascript-for-everyone,js,json,node,nodejs,programming,react,redux,typescript,vue,webdevelopment,website",0,0,0,,JavaScript,46133,10428,46133,367,124993,2019-12-23T14:07:40Z,2026-03-02T00:54:22Z,2025-12-06T11:12:48Z,85,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 85d ago); 367 open issues, 46133★",2026-03-02T04:49:17.038057+00:00
virattt/ai-hedge-fund,https://github.com/virattt/ai-hedge-fund,An AI Hedge Fund Team,,,0,0,0,,Python,45992,8042,45992,53,3024,2024-11-29T16:30:01Z,2026-03-02T03:32:18Z,2026-02-02T20:45:33Z,27,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 27d ago); 53 open issues, 45992★",2026-03-02T04:49:16.548771+00:00
tldraw/tldraw,https://github.com/tldraw/tldraw,very good whiteboard infinite canvas SDK,https://tldraw.dev,"canvas,collaboration,design,diagram,drawing,infinite,multiplayer,react,sdk,sketch,sync,whiteboard",0,0,0,NOASSERTION,TypeScript,45574,3044,45574,324,1288633,2021-05-09T11:48:37Z,2026-03-02T04:35:24Z,2026-03-01T23:19:07Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 324 open issues, 45574★",2026-03-02T04:49:17.530503+00:00
meteor/meteor,https://github.com/meteor/meteor,"Meteor, the JavaScript App Platform",https://meteor.com,"build-system,framework,hacktoberfest,javascript,meteor,mongodb,nodejs,npm,react,reactive-programming,realtime,rpc,zero-configuration",0,0,0,NOASSERTION,JavaScript,44785,5262,44785,364,143186,2012-01-19T01:58:17Z,2026-03-02T03:17:51Z,2026-02-27T19:05:52Z,2,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 2d ago); 364 open issues, 44785★",2026-03-02T04:49:17.038367+00:00
NanmiCoder/MediaCrawler,https://github.com/NanmiCoder/MediaCrawler,小红书笔记 | 评论爬虫、抖音视频 | 评论爬虫、快手视频 | 评论爬虫、B 站视频 ｜ 评论爬虫、微博帖子 ｜ 评论爬虫、百度贴吧帖子 ｜ 百度贴吧评论回复爬虫  | 知乎问答文章｜评论爬虫,https://nanmicoder.github.io/MediaCrawler/,,0,0,0,NOASSERTION,Python,44645,9763,44645,133,28710,2023-06-09T12:14:34Z,2026-03-02T04:45:34Z,2026-02-28T17:59:46Z,1,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 1d ago); 133 open issues, 44645★",2026-03-02T04:49:16.548907+00:00
SimplifyJobs/Summer2026-Internships,https://github.com/SimplifyJobs/Summer2026-Internships,Collection of Summer 2026 tech internships!,https://swelist.com/,"internships,interview-preparation,jobs,university",0,0,0,,Python,43591,3167,43591,3,2123725,2020-05-23T20:53:18Z,2026-03-02T04:42:17Z,2026-03-02T04:31:12Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 3 open issues, 43591★",2026-03-02T04:49:16.549076+00:00
Unitech/pm2,https://github.com/Unitech/pm2,Node.js Production Process Manager with a built-in Load Balancer.,https://pm2.keymetrics.io/docs/usage/quick-start/,"command-line,command-line-tool,deploy,load-balancer,monitoring,node,nodejs,pm2,process-manager,production",0,0,0,NOASSERTION,JavaScript,42964,2685,42964,1086,13763,2013-05-21T03:25:25Z,2026-03-02T02:19:23Z,2026-02-08T16:20:40Z,21,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 21d ago); 1086 open issues, 42964★",2026-03-02T04:49:17.038616+00:00
faif/python-patterns,https://github.com/faif/python-patterns,A collection of design patterns/idioms in Python,,"design-patterns,idioms,python",0,0,0,,Python,42767,7055,42767,13,3879,2012-06-06T21:02:35Z,2026-03-01T23:06:55Z,2026-02-13T10:31:33Z,16,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 16d ago); 13 open issues, 42767★",2026-03-02T04:49:16.669401+00:00
vuetifyjs/vuetify,https://github.com/vuetifyjs/vuetify,🐉 Vue Component Framework,https://vuetifyjs.com,"javascript,material,material-components,material-design,material-theme,semantic,typescript,ui,ui-components,ui-design,ui-kit,ui-library,vue,vue-components,vue-material,vuejs,vuejs3,vuetify,vuetifyjs",0,0,0,NOASSERTION,TypeScript,40971,7156,40971,672,100889,2016-09-12T00:39:35Z,2026-03-01T17:40:18Z,2026-03-01T22:12:13Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 672 open issues, 40971★",2026-03-02T04:49:17.531427+00:00
janhq/jan,https://github.com/janhq/jan,Jan is an open source alternative to ChatGPT that runs 100% offline on your computer.,https://jan.ai/,"chatgpt,gpt,llamacpp,llm,localai,open-source,self-hosted,tauri",0,0,0,NOASSERTION,TypeScript,40737,2539,40737,246,1472572,2023-08-17T02:17:10Z,2026-03-02T02:41:09Z,2026-03-02T04:48:37Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 246 open issues, 40737★",2026-03-02T04:49:17.531517+00:00
calcom/cal.com,https://github.com/calcom/cal.com,Scheduling infrastructure for absolutely everyone.,https://cal.com,"next-auth,nextjs,open-source,postgresql,prisma,t3-stack,tailwindcss,trpc,turborepo,typescript,zod",0,0,0,NOASSERTION,TypeScript,40407,12064,40407,1369,1136814,2021-03-22T13:47:42Z,2026-03-02T04:33:12Z,2026-03-01T23:49:01Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 1369 open issues, 40407★",2026-03-02T04:49:17.531606+00:00
twentyhq/twenty,https://github.com/twentyhq/twenty,"Building a modern alternative to Salesforce, powered by the community.",https://twenty.com,"crm,crm-system,customer,good-first-issue,graphql,hacktoberfest,javascript,marketing,monorepo,nestjs,open-source,postgresql,react,reactjs,sales,typescript,web",0,0,0,NOASSERTION,TypeScript,40160,5262,40160,251,796185,2022-12-01T13:04:40Z,2026-03-02T01:44:38Z,2026-03-02T02:02:20Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 251 open issues, 40160★",2026-03-02T04:49:17.531698+00:00
videojs/video.js,https://github.com/videojs/video.js,Video.js - open source HTML5 video player,https://videojs.com,"dash,hls,html,html5,html5-audio,html5-video,javascript,player,video,video-player,videojs",0,0,0,NOASSERTION,JavaScript,39514,7517,39514,632,127702,2010-05-14T18:45:10Z,2026-03-02T00:48:57Z,2026-02-11T17:40:25Z,18,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 18d ago); 632 open issues, 39514★",2026-03-02T04:49:17.038991+00:00
photoprism/photoprism,https://github.com/photoprism/photoprism,AI-Powered Photos App for the Decentralized Web 🌈💎✨,https://www.photoprism.app,"ai,golang,google-photos,machine-learning,photography,private-cloud,self-hosted,tensorflow",0,0,0,NOASSERTION,Go,39407,2211,39407,450,327249,2018-01-27T12:00:15Z,2026-03-02T02:39:29Z,2026-03-01T22:34:07Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 450 open issues, 39407★",2026-03-02T04:49:17.900802+00:00
ComposioHQ/awesome-claude-skills,https://github.com/ComposioHQ/awesome-claude-skills,"A curated list of awesome Claude Skills, resources, and tools for customizing Claude AI workflows",,"agent-skills,ai-agents,antigravity,automation,claude,claude-code,codex,composio,cursor,gemini-cli,mcp,rube,saas,skill,workflow-automation",0,0,0,,Python,39322,3901,39322,229,3742,2025-10-17T07:15:01Z,2026-03-02T04:46:29Z,2026-02-19T06:22:06Z,10,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 10d ago); 229 open issues, 39322★",2026-03-02T04:49:16.670538+00:00
bmad-code-org/BMAD-METHOD,https://github.com/bmad-code-org/BMAD-METHOD,Breakthrough Method for Agile Ai Driven Development,,,0,0,0,NOASSERTION,JavaScript,38646,4759,38646,75,33657,2025-04-13T14:54:25Z,2026-03-02T04:21:55Z,2026-03-01T19:28:08Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 75 open issues, 38646★",2026-03-02T04:49:17.039177+00:00
novuhq/novu,https://github.com/novuhq/novu,"The open-source notification Inbox infrastructure. E-mail, SMS, Push and Slack Integrations.",https://go.novu.co/github,"alternative,communication,email,hacktoberfest,inbox,javascript,nodejs,notification-center,notifications,novu,push-notifications,react,reactjs,sms,transactional,typescript",0,0,0,NOASSERTION,TypeScript,38633,4223,38633,153,272858,2021-08-26T15:22:44Z,2026-03-02T03:00:11Z,2026-03-01T19:53:01Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 153 open issues, 38633★",2026-03-02T04:49:17.531915+00:00
mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,Query Engine for AI Analytics: Build self-reasoning agents across all your live data,https://mindsdb.com,"agents,ai,analytics,artificial-inteligence,bigquery,business-intelligence,databases,hacktoberfest,llms,mcp,mssql,mysql,postgresql,rag",0,0,0,NOASSERTION,Python,38607,6116,38607,191,278792,2018-08-02T17:56:45Z,2026-03-02T01:22:39Z,2026-03-01T09:01:36Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 191 open issues, 38607★",2026-03-02T04:49:16.670703+00:00
remotion-dev/remotion,https://github.com/remotion-dev/remotion,🎥      Make videos programmatically with React,https://remotion.dev,"javascript,react,video",0,0,0,NOASSERTION,TypeScript,38293,2378,38293,77,3724515,2020-06-23T19:49:10Z,2026-03-02T04:49:01Z,2026-03-01T12:10:02Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 77 open issues, 38293★",2026-03-02T04:49:17.531958+00:00
gto76/python-cheatsheet,https://github.com/gto76/python-cheatsheet,Comprehensive Python Cheatsheet,https://gto76.github.io/python-cheatsheet/,"cheatsheet,python,python-cheatsheet,reference",0,0,0,,Python,38256,6727,38256,0,13010,2018-01-25T04:16:53Z,2026-03-02T02:52:54Z,2026-02-23T06:15:26Z,6,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 6d ago); 0 open issues, 38256★",2026-03-02T04:49:16.670796+00:00
outline/outline,https://github.com/outline/outline,"The fastest knowledge base for growing teams. Beautiful, realtime collaborative, feature packed, and markdown compatible.",https://www.getoutline.com,"docker,hacktoberfest,javascript,mobx,nodejs,react,slack,wiki",0,0,0,NOASSERTION,TypeScript,37396,3093,37396,54,315201,2016-05-22T21:31:47Z,2026-03-02T04:45:41Z,2026-03-02T03:40:48Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 54 open issues, 37396★",2026-03-02T04:49:17.652462+00:00
babysor/MockingBird,https://github.com/babysor/MockingBird,🚀Clone a voice in 5 seconds to generate arbitrary speech in real-time,,"ai,deep-learning,pytorch,speech,text-to-speech,tts",0,0,0,NOASSERTION,Python,36876,5243,36876,482,130678,2021-08-07T03:53:39Z,2026-03-02T02:53:48Z,2026-01-07T10:21:07Z,53,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 53d ago); 482 open issues, 36876★",2026-03-02T04:49:16.671444+00:00
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,Automatic SQL injection and database takeover tool,http://sqlmap.org,"database,detection,exploitation,pentesting,python,sql-injection,sqlmap,takeover,vulnerability-scanner",0,0,0,NOASSERTION,Python,36726,6213,36726,58,87676,2012-06-26T09:52:15Z,2026-03-02T04:14:19Z,2026-02-26T10:18:22Z,3,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 3d ago); 58 open issues, 36726★",2026-03-02T04:49:16.671497+00:00
markedjs/marked,https://github.com/markedjs/marked,A markdown parser and compiler. Built for speed.,https://marked.js.org,"commonmark,compiler,gfm,hacktoberfest,markdown,parser",0,0,0,NOASSERTION,TypeScript,36611,3507,36611,10,10543,2011-07-24T13:15:51Z,2026-03-01T19:22:31Z,2026-02-28T15:35:19Z,1,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 1d ago); 10 open issues, 36611★",2026-03-02T04:49:17.652667+00:00
DavidHDev/react-bits,https://github.com/DavidHDev/react-bits,"An open source collection of animated, interactive & fully customizable React components for building memorable websites.",https://reactbits.dev,"3d,animations,component-library,components,components-library,components-react,css-animations,javascript,react,react-components,reactjs,tailwind,tailwindcss,ui-components,ui-library,web",0,0,0,NOASSERTION,JavaScript,36288,1606,36288,8,59412,2024-08-06T06:54:54Z,2026-03-02T04:30:28Z,2026-03-01T14:39:57Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 8 open issues, 36288★",2026-03-02T04:49:17.039513+00:00
code-yeongyu/oh-my-opencode,https://github.com/code-yeongyu/oh-my-opencode,the best agent harness,,"ai,ai-agents,amp,anthropic,chatgpt,claude,claude-code,claude-skills,cursor,gemini,ide,openai,opencode,orchestration,tui,typescript",0,0,0,NOASSERTION,TypeScript,35915,2716,35915,280,47213,2025-12-03T01:40:05Z,2026-03-02T04:48:58Z,2026-03-01T20:19:41Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 280 open issues, 35915★",2026-03-02T04:49:17.652913+00:00
mattermost/mattermost,https://github.com/mattermost/mattermost,Mattermost is an open source platform for secure collaboration across the entire software development lifecycle..,https://mattermost.com,"collaboration,golang,hacktoberfest,mattermost,monorepo,react,react-native",0,0,0,NOASSERTION,TypeScript,35592,8369,35592,825,947684,2015-06-15T06:50:02Z,2026-03-02T04:42:40Z,2026-03-01T20:36:50Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 825 open issues, 35592★",2026-03-02T04:49:17.652972+00:00
directus/directus,https://github.com/directus/directus,"The flexible backend for all your projects 🐰 Turn your DB into a headless CMS, admin panels, or apps with a custom UI, instant APIs, auth & more.",https://directus.io,"api,app,cms,composable,data-visualization,database,directus,graphql,headless-cms,javascript,mariadb,mssql,mysql,no-code,node,postgresql,sql,sqlite,typescript,vue",0,0,0,NOASSERTION,TypeScript,34335,4585,34335,406,437248,2012-12-12T01:35:36Z,2026-03-02T04:32:07Z,2026-03-02T01:20:50Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 406 open issues, 34335★",2026-03-02T04:49:17.653571+00:00
TabbyML/tabby,https://github.com/TabbyML/tabby,Self-hosted AI coding assistant,https://tabbyml.com,"ai,codegen,coding-assistant,coding-language,developer-experience,developer-tools,gen-ai,ide,llms",0,0,0,NOASSERTION,Rust,32969,1689,32969,293,112189,2023-03-16T09:18:01Z,2026-03-02T03:05:34Z,2026-02-24T17:31:27Z,5,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 5d ago); 293 open issues, 32969★",2026-03-02T04:49:18.391949+00:00
certbot/certbot,https://github.com/certbot/certbot,Certbot is EFF's tool to obtain certs from Let's Encrypt and (optionally) auto-enable HTTPS on your server.  It can also act as a client for any other CA that uses the ACME protocol.,,"acme,acme-client,certbot,certificate,letsencrypt,python",0,0,0,NOASSERTION,Python,32871,3488,32871,185,70370,2014-11-12T02:52:20Z,2026-03-01T23:26:18Z,2026-02-27T00:21:19Z,3,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 3d ago); 185 open issues, 32871★",2026-03-02T04:49:16.793091+00:00
fish-shell/fish-shell,https://github.com/fish-shell/fish-shell,The user-friendly command line shell.,https://fishshell.com,"fish,rust,shell,terminal",0,0,0,NOASSERTION,Rust,32780,2229,32780,537,154614,2012-05-10T03:00:55Z,2026-03-02T02:13:45Z,2026-02-26T03:37:54Z,4,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 4d ago); 537 open issues, 32780★",2026-03-02T04:49:18.392035+00:00
beego/beego,https://github.com/beego/beego,"beego is an open-source, high-performance web framework for the Go programming language.",,"beego,go",0,0,0,NOASSERTION,Go,32429,5615,32429,15,12138,2012-02-29T02:32:08Z,2026-03-01T18:45:55Z,2026-03-01T22:36:43Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 15 open issues, 32429★",2026-03-02T04:49:18.022213+00:00
0xAX/linux-insides,https://github.com/0xAX/linux-insides,A book-in-progress about the Linux kernel and its insides.,http://0xax.gitbooks.io/linux-insides/content/index.html,"linux,linux-insides,linux-kernel",0,0,0,NOASSERTION,Python,32204,3496,32204,33,20449,2015-01-03T18:44:57Z,2026-03-01T17:17:41Z,2026-03-01T15:54:58Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 33 open issues, 32204★",2026-03-02T04:49:16.793377+00:00
thedotmack/claude-mem,https://github.com/thedotmack/claude-mem,"A Claude Code plugin that automatically captures everything Claude does during your coding sessions, compresses it with AI (using Claude's agent-sdk), and injects relevant context back into future sessions.",https://claude-mem.ai,"ai,ai-agents,ai-memory,anthropic,artificial-intelligence,chromadb,claude,claude-agent-sdk,claude-agents,claude-code,claude-code-plugin,claude-skills,embeddings,long-term-memory,mem0,memory-engine,openmemory,rag,sqlite,supermemory",0,0,0,NOASSERTION,TypeScript,32098,2186,32098,64,113119,2025-08-31T20:50:03Z,2026-03-02T04:44:55Z,2026-02-27T05:16:58Z,2,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 2d ago); 64 open issues, 32098★",2026-03-02T04:49:17.654301+00:00
nicolargo/glances,https://github.com/nicolargo/glances,"Glances an Eye on your system. A top/htop alternative for GNU/Linux, BSD, Mac OS and Windows operating systems.",http://nicolargo.github.io/glances/,"monitoring,multi-platform,python,restful,restful-api,system,terminal,web",0,0,0,NOASSERTION,Python,31832,1691,31832,152,50812,2011-12-04T08:49:15Z,2026-03-02T04:12:52Z,2026-03-01T09:59:51Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 152 open issues, 31832★",2026-03-02T04:49:16.793762+00:00
surrealdb/surrealdb,https://github.com/surrealdb/surrealdb,"A scalable, distributed, collaborative, document-graph database, for the realtime web",https://surrealdb.com,"backend-as-a-service,cloud-database,database,database-as-a-service,developer-tools,devtools,distributed,distributed-database,document-database,graph-database,iot-database,nosql,realtime-database,serverless,sql,surreal,surrealdb,web",0,0,0,NOASSERTION,Rust,31405,1153,31405,646,51112,2021-12-09T15:03:29Z,2026-03-02T03:08:17Z,2026-03-01T14:03:48Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 646 open issues, 31405★",2026-03-02T04:49:18.392335+00:00
Dokploy/dokploy,https://github.com/Dokploy/dokploy,"Open Source Alternative to Vercel, Netlify and Heroku.",https://dokploy.com/,"backend,backups,databases,deployment,devops,docker,frontend,mariadb,mongodb,mysql,nextjs,postgresql,self-hosted,vps",0,0,0,NOASSERTION,TypeScript,31130,2128,31130,517,25430,2024-04-19T07:49:30Z,2026-03-02T04:09:58Z,2026-03-01T21:53:43Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 517 open issues, 31130★",2026-03-02T04:49:17.654721+00:00
SagerNet/sing-box,https://github.com/SagerNet/sing-box,The universal proxy platform,https://sing-box.sagernet.org/,,0,0,0,NOASSERTION,Go,30993,3626,30993,208,16822,2022-06-30T13:27:22Z,2026-03-02T04:25:39Z,2026-03-02T03:39:30Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 208 open issues, 30993★",2026-03-02T04:49:18.022555+00:00
tqdm/tqdm,https://github.com/tqdm/tqdm,":zap: A Fast, Extensible Progress Bar for Python and CLI",https://tqdm.github.io,"cli,closember,console,discord,gui,jupyter,keras,meter,pandas,parallel,progress,progress-bar,progressbar,progressmeter,python,rate,telegram,terminal,time,utilities",0,0,0,NOASSERTION,Python,30986,1438,30986,590,6053,2015-06-03T13:13:14Z,2026-03-02T03:02:50Z,2026-02-14T00:27:00Z,16,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 16d ago); 590 open issues, 30986★",2026-03-02T04:49:16.794173+00:00
sunface/rust-course,https://github.com/sunface/rust-course,"“连续八年成为全世界最受喜爱的语言，无 GC 也无需手动内存管理、极高的性能和安全性、过程/OO/函数式编程、优秀的包管理、JS 未来基石"" — 工作之余的第二语言来试试 Rust 吧。本书拥有全面且深入的讲解、生动贴切的示例、德芙般丝滑的内容，这可能是目前最用心的 Rust 中文学习教程 / Book ",https://course.rs,"book,chinese,course,deno,javascript,learn,learning,programming-courses,rust,rust-book,rust-course,rust-lang,rust-learn,rust-learning,rust-study,study,wasm",0,0,0,,Rust,30007,2553,30007,70,11352,2018-08-07T05:01:21Z,2026-03-01T15:04:37Z,2026-01-29T07:32:22Z,31,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 31d ago); 70 open issues, 30007★",2026-03-02T04:49:18.392466+00:00
encode/django-rest-framework,https://github.com/encode/django-rest-framework,Web APIs for Django. 🎸,https://www.django-rest-framework.org,"api,django,python,rest",0,0,0,NOASSERTION,Python,29910,7074,29910,80,60973,2011-03-02T17:13:56Z,2026-03-01T19:09:10Z,2026-03-01T19:09:34Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 80 open issues, 29910★",2026-03-02T04:49:16.794619+00:00
qarmin/czkawka,https://github.com/qarmin/czkawka,"Multi functional app to find duplicates, empty folders, similar images etc.",,"cleaner,duplicates,multiplatform,optimization,optimizer,rust,similar-images,similar-music,similar-videos",0,0,0,NOASSERTION,Rust,29596,983,29596,420,9446,2020-09-01T17:37:29Z,2026-03-02T04:31:30Z,2026-02-24T09:24:21Z,5,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 5d ago); 420 open issues, 29596★",2026-03-02T04:49:18.512893+00:00
the1812/Bilibili-Evolved,https://github.com/the1812/Bilibili-Evolved,强大的哔哩哔哩增强脚本,,"bilibili,tampermonkey,userscript",0,0,0,NOASSERTION,TypeScript,28554,1735,28554,474,317473,2018-07-16T07:48:06Z,2026-03-02T03:36:27Z,2026-03-01T09:48:04Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 474 open issues, 28554★",2026-03-02T04:49:17.776227+00:00
fyne-io/fyne,https://github.com/fyne-io/fyne,Cross platform GUI toolkit in Go inspired by Material Design,https://fyne.io/,"android,cross-platform,fyne,go,golang,gui,hacktoberfest,ios,theme,toolkit",0,0,0,NOASSERTION,Go,27974,1511,27974,742,115264,2018-02-04T22:07:16Z,2026-03-02T04:08:52Z,2026-03-01T16:08:04Z,0,0,10,OK,LICENSE_UNCLEAR,"License unclear; Active (last commit 0d ago); 742 open issues, 27974★",2026-03-02T04:49:18.023180+00:00
